strain	date
CY104798|A/HaNoi/HN859/2003	2003-10-24
CY104060|A/HaNoi/HN867/2003	2003-10-28
CY104806|A/HaNoi/HN979/2003	2003-12-09
CY104814|A/HaNoi/HN981/2003	2003-12-09
CY104822|A/Hanoi/ISBM31/2005	2005-04-08
CY105118|A/HaNoi/N229/2008	2008-07-24
CY104276|A/Hanoi/Q137/2006	2006-03-07
CY104830|A/Hanoi/Q177/2006	2006-03-15
CY104838|A/HaNoi/Q421/2006	2006-06-19
CY104846|A/HaNoi/Q555/2006	2006-08-02
CY104284|A/HaNoi/Q580/2006	2006-08-09
CY104292|A/HaNoi/Q591/2006	2006-08-14
CY105134|A/HaNoi/TX200/2008	2008-06-27
CY105142|A/HaNoi/TX222/2008	2008-07-10
CY105150|A/HaNoi/TX233/2008	2008-07-16
EU851979|A/Hawaii/01/2008	2008-01-01
EU851981|A/Hawaii/02/2008	2008-01-17
EU779619|A/Hawaii/05/2008	2008-01-29
EU779620|A/Hawaii/06/2008	2008-01-25
EU516057|A/Hawaii/15/2007	2007-08-20
EU516059|A/Hawaii/16/2007	2007-08-21
EU516060|A/Hawaii/17/2007	2007-08-22
EU516084|A/Hawaii/18/2007	2007-10-19
EU516079|A/Hawaii/19/2007	2007-10-03
EU516087|A/Hawaii/19/2007	2007-10-03
FJ549058|A/Hawaii/19/2008	2008-10-15
EU516085|A/Hawaii/20/2007	2007-10-25
GQ475840|A/Hawaii/20/2008	2008-10-18
FJ686968|A/Hawaii/20/2008	2008-10-18
FJ686969|A/Hawaii/20/2008	2008-10-18
EU516080|A/Hawaii/21/2007	2007-10-22
FJ687033|A/Hawaii/21/2008	2008-10-25
FJ549045|A/Hawaii/21/2008	2008-10-25
EU516095|A/Hawaii/28/2007	2007-10-22
EU516093|A/Hawaii/28/2007	2007-10-22
EU516078|A/Hawaii/31/2007	2007-10-01
EU516017|A/Hawaii/31/2007	2007-10-01
EU516082|A/Hawaii/35/2007	2007-10-10
EU567019|A/Hawaii/38/2007	2007-11-14
EU516249|A/Hawaii/38/2007	2007-11-14
GQ475678|A/Hawaii/38/2008	2008-12-01
FJ687015|A/Hawaii/38/2008	2008-12-01
EU887019|A/Hawaii/39/2007	2007-11-07
EU516242|A/Hawaii/39/2007	2007-11-07
GQ466379|A/Hawaii/41/2008	2008-10-21
EU716603|A/Hawaii/42/2007	2007-11-02
GQ466367|A/Hawaii/42/2008	2008-10-20
EU716601|A/Hawaii/43/2007	2007-11-14
EU716570|A/Hawaii/44/2007	2007-12-11
EU716531|A/Hawaii/45/2007	2007-12-16
EU779612|A/Hawaii/46/2007	2007-12-04
FJ686951|A/Hawaii/46/2008	2008-11-10
GQ466383|A/Hawaii/55/2008	2008-12-20
GQ475754|A/Hawaii/58/2008	2008-12-17
GQ475707|A/Hawaii/59/2008	2008-XX-XX
CY020445|A/Henry/1936	1959-XX-XX
FJ231766|A/Hessen/4/2005	2005-XX-XX
CY013271|A/Hickox/1940	1963-XX-XX
CY146777|A/Hickox/JY2/1940	1963-XX-XX
DQ397950|A/Hiroshima/37/2001	2001-XX-XX
CY105158|A/HoChiMinh/HCM395/2006	2006-04-28
CY105166|A/HoChiMinh/HCM526/2006	2006-05-21
CY104662|A/HoChiMinh/HCM554/2006	2006-05-31
CY105174|A/HoChiMinh/HCM639/2006	2006-06-13
CY043425|A/Hokkaido/07H007/2007	2007-12-12
AF386778|A/Hong_Kong/1035/98	1998-XX-XX
AF386777|A/Hong_Kong/1035/98	1998-XX-XX
AF386776|A/Hong_Kong/1035/98	1998-XX-XX
AF386775|A/Hong_Kong/1131/98	1998-XX-XX
AF386780|A/Hong_Kong/1134/98	1998-XX-XX
AF386781|A/Hong_Kong/1134/98	1998-XX-XX
CY009292|A/Hong_Kong/117/1977	1977-XX-XX
CY121648|A/Hong_Kong/1870/2008	2008-XX-XX
CY125204|A/Hong_Kong/2637/2004	2004-XX-XX
CY087278|A/Hong_Kong/62768/2008	2008-XX-XX
EU516329|A/HongKong/CUHK_13003/2002	2002-XX-XX
CY104950|A/Hue/H257/2008	2008-07-14
CY104958|A/Hue/H259/2008	2008-07-15
CY104966|A/Hue/H274/2008	2008-07-25
CY104974|A/Hue/H339/2008	2008-09-17
CY104571|A/Hue/H354/2008	2008-09-30
CY104982|A/Hue/H386/2008	2008-10-20
CY104990|A/Hue/H396/2008	2008-10-30
CY104998|A/Hue/H400/2008	2008-11-03
CY105006|A/Hue/H409/2008	2008-11-05
CY105022|A/Hue/H413/2008	2008-11-07
CY105030|A/Hue/H414/2008	2008-11-10
CY105038|A/Hue/H418/2008	2008-11-11
CY105046|A/Hue/H423/2008	2008-11-13
CY105054|A/Hue/H432/2008	2008-11-19
CY104579|A/Hue/H433/2008	2008-11-19
CY105062|A/Hue/H435/2008	2008-11-20
CY105070|A/Hue/H436/2008	2008-11-20
CY105014|A/Hue/H441/2008	2008-XX-XX
CY105078|A/Hue/H442/2008	2008-11-25
CY104587|A/Hue/H445/2008	2008-12-01
CY104595|A/Hue/H485/2008	2008-12-27
CY043433|A/Hyogo/07K030/2007	2007-12-18
EU887031|A/Idaho/01/2008	2008-01-22
EU716571|A/Idaho/02/2008	2008-01-22
EU516142|A/Idaho/06/2007	2007-XX-XX
FJ532072|A/Idaho/09/2008	2008-02-28
EU516058|A/Idaho/11/2007	2007-09-18
FJ686971|A/Idaho/23/2008	2008-12-24
